time	V(out)	V(rst)	V(vin)
1.787350264416865e-005	-2.557183e-003	-7.929633e-001	-2.000000e+000
1.796021718462162e-005	-4.018993e-003	-7.949978e-001	-2.000000e+000
1.806249676081998e-005	-5.557447e-003	-7.967565e-001	-2.000000e+000
1.816520712048901e-005	-6.910246e-003	-7.979795e-001	-2.000000e+000
1.827420775462865e-005	-8.147045e-003	-7.988592e-001	-2.000000e+000
1.837680951540785e-005	-9.134255e-003	-7.994195e-001	-2.000000e+000
1.848280006988994e-005	-9.983989e-003	-7.998098e-001	-2.000000e+000
1.858551675924809e-005	-1.065140e-002	-8.000666e-001	-2.000000e+000
1.869132343288266e-005	-1.118714e-002	-8.002458e-001	-2.000000e+000
1.879473035192820e-005	-1.156991e-002	-8.003647e-001	-2.000000e+000
1.890015978914715e-005	-1.182473e-002	-8.004469e-001	-2.000000e+000
1.900384389556585e-005	-1.194914e-002	-8.005018e-001	-2.000000e+000
1.910900858921103e-005	-1.195449e-002	-8.005396e-001	-2.000000e+000
1.921296936465589e-005	-1.184663e-002	-8.005649e-001	-2.000000e+000
1.931801023658534e-005	-1.162962e-002	-8.005823e-001	-2.000000e+000
1.942222515132447e-005	-1.131281e-002	-8.005940e-001	-2.000000e+000
1.952726270660692e-005	-1.089677e-002	-8.006020e-001	-2.000000e+000
1.963179147225867e-005	-1.039158e-002	-8.006074e-001	-2.000000e+000
1.973702597091016e-005	-9.796109e-003	-8.006111e-001	-2.000000e+000
1.984207014622336e-005	-9.119526e-003	-8.006135e-001	-2.000000e+000
1.994787284141376e-005	-8.359598e-003	-8.006152e-001	-2.000000e+000
2.005390618587401e-005	-7.523338e-003	-8.006163e-001	-2.000000e+000
